Video Name,Width,Height,Video Length,Frames per Second,Frame Count,Original Bitrate,Original Size,Scene Count,Avg Motion ,Avg PCC,Compression Preset,Compression Duration,Compressed Bitrate,Compressed Size, Average PSNR, Average SSIM, Average VIFp
Love.Death.and.Robots.S01E01.Sonnies.Edge.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,1034.432,24,24826,817.5930176,881.7144146,9,0.16213,0.86142,faster,513.57,72.2019043,74.41723347,49.26,0.9887,0.661700049
Love.Death.and.Robots.S01E01.Sonnies.Edge.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,1034.432,24,24826,817.5930176,881.7144146,9,0.16213,0.86142,fast,644.08,75.49731445,77.81390572,49.35,0.9891,0.67085025
Love.Death.and.Robots.S01E01.Sonnies.Edge.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,1034.432,24,24826,817.5930176,881.7144146,9,0.16213,0.86142,medium,952.9,75.03320313,77.33542442,49.71,0.9893,0.676750293
Love.Death.and.Robots.S01E01.Sonnies.Edge.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,1034.432,24,24826,817.5930176,881.7144146,9,0.16213,0.86142,slow,1855.61,74.75964355,77.0535326,51.57,0.9895,0.698050439
Love.Death.and.Robots.S01E01.Sonnies.Edge.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,1034.432,24,24826,817.5930176,881.7144146,9,0.16213,0.86142,slower,4102.65,70.86083984,73.03505135,52.39,0.98975,0.706400488
Love.Death.and.Robots.S01E02.Three.Robots.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,696.448,24,16714,490.7226563,361.4448538,6,0.14999,0.92136,superfast,226.06,60.93725586,42.28456402,42.06,0.9864,0.6855
Love.Death.and.Robots.S01E02.Three.Robots.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,696.448,24,16714,490.7226563,361.4448538,6,0.14999,0.92136,veryfast,284.29,57.06640625,39.59859276,45.8,0.98885,0.73875
Love.Death.and.Robots.S01E02.Three.Robots.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,696.448,24,16714,490.7226563,361.4448538,6,0.14999,0.92136,faster,284.88,57.03588867,39.5774231,45.8,0.98885,0.73875
Love.Death.and.Robots.S01E02.Three.Robots.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,696.448,24,16714,490.7226563,361.4448538,6,0.14999,0.92136,fast,373.35,60.31811523,41.85499954,45.86,0.9895,0.745506316
Love.Death.and.Robots.S01E02.Three.Robots.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,1920,1080,696.448,24,16714,490.7226563,361.4448538,6,0.14999,0.92136,medium,547.27,62.22558594,43.17854881,46.18,0.98995,0.753449999
