"","Video.Name","Width","Height","Video.Length","Frames.per.Second","Frame.Count","Original.Bitrate","Original.Size","Scene.Count","Avg.Motion","Avg.PCC","Compression.Preset","Compression.Duration","Compressed.Bitrate","Compressed.Size","Average.PSNR","Average.SSIM","Average.VIFp","Normalized.PSNR","Normalized.SSIM","Normalized.VIFp","Normalized.Duration","Normalized.Size","PSNR.By.Duration","SSIM.By.Duration","VIFp.By.Duration","Metric"
"60","Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv",1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,"fast",1631.45,44.41174316,128.0552292,48.19,0.987274834,0.768423355,1.70168067226891,1.73855855996065,1.67926528393226,1.07345913604091,1.48426413016609,1.5852309744598,1.61958522834203,1.56434951974573,3.2131516
"61","Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv",1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,"medium",2471.49,45.40124512,130.908452,48.06,0.987452958,0.771895101,1.64705882352941,1.82518775235073,1.73105850091438,1.17037706200375,1.6665885793624,1.40728904982942,1.55948694792933,1.47906051572021,2.6676269
"62","Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv",1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,"slow",4325,45.83520508,132.159749,48.56,0.987701396,0.783780295,1.85714285714286,1.94601360006923,1.90836767955722,1.3842220514702,1.74654799799105,1.34165096934438,1.40585363309474,1.37865718692339,2.3624669
"63","Hanna.S01E01.Forest.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTG.mkv",1920,1080,2893.824,23.976,69382,909.9595947,2793.483319,7,0.08482,0.91085,"slower",9662.28,43.52197266,125.4896936,48.9,0.987812401,0.789922492,2,2,2,2,1.3203232471886,1,1,1,2.2721709
"64","Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,"superfast",1027.62,51,149,46.32,0.987966178,0.71893927,1,1,1,1,1.9375,1,1,1,1.5483871
"65","Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,"veryfast",1306.78,45.875,134,47.16,0.98882479,0.749416573,1.37837837837838,1.38226384651962,1.45423005187265,1.03145702267101,1,1.33634106713336,1.34010803759926,1.40987944229305,4.0863285
"66","Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,"faster",1303.47,45.875,134,46.99,0.988814552,0.746883628,1.3018018018018,1.3777057722548,1.41647934477299,1.03108403676672,1,1.26255645066914,1.3361721480773,1.37377681572377,3.9725054
"67","Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,"fast",1690.09,49,143,48.2,0.98962783,0.767142645,1.84684684684685,1.739786405381,1.71841729324563,1.07465014260231,1.5625,1.71855636884263,1.61893283814957,1.59904812284713,3.1593839
"68","Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,"medium",2563.09,50.875,147,47.72,0.989812987,0.765238494,1.63063063063063,1.82222041169588,1.69003805616211,1.17302376630123,1.8125,1.39010877483951,1.55343861228122,1.44075346528666,2.4189246
"69","Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,"slow",4329.02,51.25,150,48.44,0.990156051,0.781311531,1.95495495495495,1.97495641380442,1.92958866306001,1.37201681704422,2,1.42487681686481,1.4394549609524,1.4063884925383,2.1353601
"70","Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.93259,"slower",9901.95,49.25,144,48.54,0.990212302,0.786035894,2,2,2,2,1.625,1,1,1,1.8461538
"71","Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,"superfast",1117.1,88.02539063,254.9613514,46.21,0.98599061,0.717151613,1,1,1,1,1.63074578225072,1,1,1,1.8396491
"72","Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,"veryfast",1444.43,81.79296875,236.9095268,46.87,0.98701233,0.741686908,1.31132075471698,1.34804955376472,1.39814034103836,1.03049642284497,1.00577547486053,1.27251364065555,1.30815549077119,1.35676389557802,3.9148231
"73","Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,"faster",1443.08,81.73535156,236.7427063,46.93,0.986977931,0.744365412,1.33962264150943,1.33633151300996,1.44160509237037,1.03037064711149,1,1.30013665011216,1.29694252913375,1.39911312148858,3.9961923
"74","Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,"fast",1854.42,85.60522461,247.95156,47.91,0.987924803,0.763244569,1.80188679245283,1.65888404900054,1.74796187375395,1.06869404726745,1.38806053668285,1.68606421740636,1.55225347539097,1.63560551144017,3.5113189
"75","Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,"medium",2734.15,90.48815918,262.0947323,47.62,0.988362307,0.760618506,1.66509433962264,1.8079200588372,1.70534809558629,1.15065603690912,1.87770980680724,1.44708260871372,1.57120807682339,1.48206591794988,2.3967264
"76","Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,"slow",5126.99,91.7076416,265.6269979,48.11,0.988776369,0.77255397,1.89622641509434,1.94897053678704,1.89902784174018,1.37359026365389,2,1.38048912056947,1.41888785058987,1.38252861278194,2.0909528
"77","Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv",1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.91719,"slower",11850.49,88.65039063,256.7716722,48.33,0.988926169,0.778776353,2,2,2,2,1.69342070691462,1,1,1,1.7715621
"78","Love.Death.and.Robots.S01E01.Sonnies.Edge.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",1920,1080,1034.432,24,24826,817.5930176,881.7144146,9,0.16213,0.86142,"superfast",395.05,78.32092285,80.72407436,45.52,0.98795,0.614400244,1,1,1,1,2,1,1,1,1.5
"79","Love.Death.and.Robots.S01E01.Sonnies.Edge.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",1920,1080,1034.432,24,24826,817.5930176,881.7144146,9,0.16213,0.86142,"veryfast",513.76,72.26464844,74.48196888,49.24,0.9887,0.661250244,1.54148471615721,1.41666666666668,1.50923777984763,1.03201801704607,1.18817963324056,1.49366066356998,1.37271505270963,1.46241417777521,3.6432117
"80","Love.Death.and.Robots.S01E01.Sonnies.Edge.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",1920,1080,1034.432,24,24826,817.5930176,881.7144146,9,0.16213,0.86142,"faster",513.57,72.2019043,74.41723347,49.26,0.9887,0.661700049,1.54439592430859,1.41666666666668,1.5141269516633,1.03196677095695,1.1797604348696,1.49655586572468,1.3727832199025,1.46722452144388,3.6758002
"81","Love.Death.and.Robots.S01E01.Sonnies.Edge.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv",1920,1080,1034.432,24,24826,817.5930176,881.7144146,9,0.16213,0.86142,"fast",644.08,75.49731445,77.81390572,49.35,0.9891,0.67085025,1.55749636098981,1.63888888888887,1.61358539440395,1.06716743985327,1.62151646103605,1.45946765505135,1.53573734325534,1.51202644884462,2.7796396
