,Video.Name,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,PSNR.By.Duration,Normalized.Size,SSIM.By.Duration,VIFp.By.Duration,Metric
48,arctic_ice_floating_ice_sheets_619.mp4,1920,1080,10.082,30,301,332.5429688,3.424084663,1,0.04212,0.98894,slow,15.05,103.6611328,1.036278725,41.02,0.968762363,0.644579364,1.918181818,1.933890357,1.906818018,1.280324133,1.498200158,2,1.510469347,1.489324437,2.248997
49,arctic_ice_floating_ice_sheets_619.mp4,1920,1080,10.082,30,301,332.5429688,3.424084663,1,0.04212,0.98894,slower,43.47,102.9388428,1.029057503,41.2,0.969799145,0.651438326,2,2,2,2,1,1.943283448,1,1,1.5437789
50,atmosphere_planets_nasa_511.mp4,1280,720,6.467,30,194,405.336792,2.565743446,2,0.13784,0.83454,superfast,1.39,67.99645996,0.438077927,37.35,0.95093478,0.595197118,1,1,1,1,1,1,1,1,3
51,atmosphere_planets_nasa_511.mp4,1280,720,6.467,30,194,405.336792,2.565743446,2,0.13784,0.83454,veryfast,1.78,69.10009766,0.445188522,37.92,0.957710864,0.617635404,1.318435754,1.474785796,1.349699824,1.02300885,1.288782355,1.059776633,1.441615873,1.319343253,3.8213161
52,atmosphere_planets_nasa_511.mp4,1280,720,6.467,30,194,405.336792,2.565743446,2,0.13784,0.83454,faster,1.8,69.18725586,0.445750237,37.88,0.957481513,0.616574751,1.296089385,1.458715659,1.333169587,1.024188791,1.265478979,1.064498803,1.424264425,1.301683439,3.7495832
53,atmosphere_planets_nasa_511.mp4,1280,720,6.467,30,194,405.336792,2.565743446,2,0.13784,0.83454,fast,2.42,72.58068848,0.467612267,38.29,0.959970517,0.630170725,1.525139665,1.633114876,1.545062319,1.060766962,1.437770707,1.248286313,1.539560464,1.456552075,3.5519762
54,atmosphere_planets_nasa_511.mp4,1280,720,6.467,30,194,405.336792,2.565743446,2,0.13784,0.83454,medium,3.16,79.47729492,0.512044907,38.52,0.961532937,0.638430261,1.653631285,1.742590322,1.673786869,1.104424779,1.497278327,1.621818154,1.577826173,1.515528175,2.8305471
55,atmosphere_planets_nasa_511.mp4,1280,720,6.467,30,194,405.336792,2.565743446,2,0.13784,0.83454,slow,6.06,82.24951172,0.529906273,38.98,0.964333615,0.654037523,1.910614525,1.938827874,1.917025447,1.275516224,1.497914718,1.771973285,1.520033879,1.502940857,2.5513305
56,atmosphere_planets_nasa_511.mp4,1280,720,6.467,30,194,405.336792,2.565743446,2,0.13784,0.83454,slower,18.34,86.4597168,0.557030678,39.14,0.965206656,0.659361537,2,2,2,2,1,2,1,1,1.5
57,Autumn_leaves_10.mp4,1920,1080,33.5,29.97,1004,1560.011108,51.04863071,1,0.15703,0.99177,superfast,15.85,118.0045166,3.938881874,42.52,0.981910321,0.753603323,1,1,1,1,1,1.939721317,1,1,1.5466139
