,Video.Name,Metric,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,PSNR.By.Duration,Normalized.Size,SSIM.By.Duration,VIFp.By.Duration
41,Chilling.Adventures.of.Sabrina.S02E06.iNTERNAL.1080p.WEB.X264-AMRAP.mkv,4.5009421,1920,1080,3244.064,23.976,77770,367.4316406,1397.118932,14,0.0735,0.92777,faster,1281.69,27.7779541,89.7769289,50.79,0.9946,0.702100244,1.546478873,1.566666667,1.538299224,1.033438035,1.496440833,1,1.515975428,1.488525845
42,Christmas_Tree_12.mp4,3.4360766,1920,1080,60.26,29.97,1806,1417.189209,83.42117405,1,0.03814,0.85512,fast,58.93,269.5413818,16.18393517,39.21,0.969548919,0.600680541,1.157894737,1.28483055,1.148478051,1.045146473,1.107877955,1,1.229330609,1.098868035
43,Christmas_Tree_7.mp4,3.2671906,1920,1080,30.898,29.97,926,1573.28772,47.48335361,1,0.0862,0.5754,slow,109.7,267.0480957,8.221203804,41.6,0.969862813,0.623720045,1.741935484,1.682347603,1.878248662,1.374142955,1.267652305,1.181073412,1.224288635,1.366850992
44,Christmas_Tree_8_Angel.mp4,4.2210898,1920,1080,30.731,29.97,921,1472.787354,44.21091175,1,0.00967,0.98364,fast,22.28,142.0142822,4.34834671,39.13,0.97493003,0.742396291,1.346153846,1.621635845,1.438035266,1.043764796,1.289709953,1,1.553641061,1.377738808
45,Christmas_Tree_9.mp4,4.4491617,1920,1080,30.5,24,732,1541.17749,45.91345596,1,0.02615,0.99011,medium,23.74,22.77893066,0.692252159,45.6,0.987731485,0.767660668,1.878787879,1.997322421,1.953819643,1.174107698,1.600183596,1.116033445,1.701140726,1.664088947
46,City_panorama.mp4,4.1073079,1920,1080,54.888,29.97,1645,1457.638916,78.15264225,1,0.11727,0.98334,faster,26.44,63.06384277,3.448950768,40.55,0.970046728,0.636041168,1.358778626,1.540626675,1.305355246,1.02372664,1.327286575,1,1.50491998,1.275101375
47,Colors.mp4,3.7802348,1920,1080,46.333,24,1112,1315.787842,59.54964638,1,0.18365,0.98516,medium,36.79,24.38232422,1.125653267,53.86,0.995280004,0.521824897,1.491666667,1.745524535,1.872744369,1.168400997,1.276673566,1.156923732,1.493943038,1.602826748
48,Colors_2.mp4,3.6738729,1920,1080,50.708,24,1217,999.5292969,49.51109314,1,0.19146,0.70041,medium,58.53,58.60583496,2.961118698,48.96,0.99363996,0.62730353,1.690140845,1.813785214,1.617803079,1.174609341,1.438896138,1.186858735,1.544160386,1.377311607
49,Colors_3.mp4,3.5561493,1920,1080,60.875,24,1461,1243.328613,73.93148899,1,0.10074,0.88787,slow,105,38.04284668,2.307499886,54.81,0.996975,0.652759971,1.99009901,1.932251358,2,1.417268628,1.404179116,1.175065113,1.363362823,1.411165082
50,Colors_4.mp4,3.5380372,1920,1080,48.417,24,1162,1068.893188,50.55359554,1,0.1221,0.86692,slow,74.09,29.38879395,1.417778015,57.48,0.996342827,0.338963929,1.831932773,1.941475667,1.997157712,1.424844457,1.285707197,1.144691791,1.362587795,1.40166718
51,Colors_5_moving_camera.mp4,3.1263392,1920,1080,29.596,29.97,887,1174.448486,33.95577621,1,0.13635,0.73624,medium,30.91,27.92297363,0.823423386,51.84,0.995112555,0.466744416,1.570093458,1.694058923,1.444613302,1.181348559,1.329068755,1.274949329,1.434004308,1.22285103
52,Curtains.mp4,3.6906259,1920,1080,40.841,29.97,1224,1568.840576,62.58658218,1,0.18877,0.97422,faster,34.19,422.6693115,17.19951248,35.95,0.958967267,0.659110667,1.160305344,1.363054936,1.233807223,1.01802989,1.139755674,1,1.338914455,1.211955793
53,dance_culture_drum_989.mp4,5.5859989,1920,1080,30.325,23.843,723,2314.517944,69.47901249,1,0.46547,0.86831,faster,30.21,580.1158447,17.52736092,16.41,0.56369722,0.090249114,2,1.970447098,1.710093003,1.016924665,1.966714025,1,1.937652971,1.681631946
54,Dandelion_3.mp4,4.0514409,1920,1080,37.104,29.97,1112,1580.902832,57.29683304,1,0.02406,0.9929,veryfast,21.92,97.23156738,3.594565392,42.04,0.979171434,0.678706491,1.302521008,1.519511955,1.360865986,1.03002611,1.264551448,1.002350537,1.47521693,1.321195621
55,Danube_river.mp4,4.3836979,1920,1080,20.387,29.97,611,1538.21582,30.63280964,1,0.06173,0.99565,veryfast,9.99,30.21716309,0.6138134,44.02,0.985413385,0.588740846,1.368421053,1.788587547,1.359365642,1.030265849,1.328221308,1,1.736044681,1.319431916
56,Danube_river_3.mp4,3.9364978,1920,1080,20.954,29.97,628,1611.240112,32.97939873,1,0.03175,0.98637,fast,18.91,350.3796387,7.315356255,37.38,0.965214993,0.570415271,1.449152542,1.527448519,1.467488527,1.044820183,1.386987509,1.08051608,1.461924783,1.404536926
57,Dark_2.mp4,3.4960379,1920,1080,30.964,29.97,928,1469.13147,44.43637753,1,0.01651,0.99407,veryfast,14.62,130.9926758,4.041416168,39.73,0.968472091,0.554531407,1.098765432,1.336063695,1.132784315,1.020473344,1.076721346,1,1.309258789,1.110057721
58,Dead_trees.mp4,4.1488518,1920,1080,19.186,29.97,575,1456.856812,27.30361652,1,0.48694,0.86035,faster,15.35,438.4390869,8.381093979,36.41,0.969635003,0.694144003,1.320652174,1.546739989,1.34512921,1.015346305,1.300691367,1,1.523362011,1.324798448
59,drink_water_glass_pouring_404.mp4,3.977292,1920,1080,15.8,50,790,303.5770264,4.688096046,1,0.03833,0.96768,medium,21.47,106.2677002,1.672970772,43.61,0.988087476,0.695471682,1.54368932,1.678535077,1.652465272,1.147341211,1.345449205,1.068235248,1.46297811,1.440256182
60,Dry_lake_bottom_2.mp4,4.7052858,1920,1080,25.158,59.94,754,1776.348389,43.65553379,1,0.21861,0.64901,faster,12.86,75.44189453,1.892317772,31.8,0.878732154,0.425600421,1.369565217,1.9411023,1.502442089,1.022814993,1.339015587,1.000098232,1.897803918,1.468928496
61,electrical_light_lantern_outdoors_360.mp4,3.3649421,1920,1080,26.052,29.97,780,382.6859131,9.746026993,1,0.09669,0.97172,medium,29.65,55.84375,1.448143959,47.56,0.993869376,0.73112639,1.646551724,1.880290293,1.858381902,1.165692678,1.412509279,1.3729101,1.613024023,1.594229712
62,Fire_1.mp4,4.1990203,1920,1080,54.555,29.97,1635,1667.483643,88.85722351,1,0.13372,0.95423,faster,40.8,141.6446533,7.699389458,42.7,0.97970305,0.723586229,1.294573643,1.617515761,1.410816074,1.02950336,1.257473937,1,1.571161225,1.370385108
63,Fire_3.mp4,3.409779,1920,1080,34.034,29.97,1020,1690.274048,56.19159508,1,0.16276,0.87688,medium,49.68,154.479126,5.238568306,43.42,0.982998752,0.679674351,1.705882353,1.864174623,1.776887667,1.141283984,1.49470454,1.37399683,1.633401194,1.55691983
64,Fishing_barks.mp4,3.6060302,1920,1080,35.502,29.97,1064,1719.063232,59.61365414,1,0.08445,0.97402,faster,28.45,475.9268799,16.83537102,35.55,0.948351582,0.56084423,1.152439024,1.304855741,1.230655434,1.022717503,1.126840033,1,1.275871135,1.203319031
65,Flowers_6.mp4,4.7684414,1920,1080,41.041,29.97,1230,1558.882202,62.49423695,1,0.21811,0.97348,veryfast,23.39,110.5664063,4.521380424,41.46,0.977180645,0.73141729,1.511415525,1.767020709,1.585927816,1.020116144,1.48161122,1,1.732176007,1.554654169
66,Foggy_road_timelapse.mp4,3.7848172,1920,1080,22.589,29.97,677,1527.580688,33.70705891,1,0.0036,0.99472,veryfast,9.63,33.30908203,0.749702454,39.22,0.969625507,0.680823758,1.329268293,1.425875429,1.308906307,1.023484435,1.298767473,1.049138667,1.393157903,1.278872705
67,Folk musician.mp4,3.4841446,1920,1080,31.899,29.97,956,1488.944092,46.39429188,1,0.22159,0.92111,faster,26.41,404.2657471,12.84872532,36.37,0.965163505,0.651127871,1.065088757,1.345556165,1.143491343,1.020088637,1.044113932,1,1.319058086,1.120972533
68,Forest.mp4,3.9527818,1920,1080,25.125,29.97,753,1444.863892,35.4613781,1,0.02133,0.99472,faster,12.37,120.2731934,3.010956764,39.24,0.968776547,0.663002545,1.219047619,1.560104962,1.248959086,1.017772287,1.197760673,1.001262698,1.53286249,1.227149827
69,Friends.mp4,4.1104733,1920,1080,31.832,29.97,954,1563.795532,48.62404919,1,0.08778,0.98931,veryfast,17.09,117.1020508,3.714021683,39.41,0.979788162,0.684552598,1.289215686,1.591252366,1.329599475,1.022461457,1.260894167,1.001729094,1.556295697,1.300390803
70,Frozen_grass.mp4,4.8764603,1920,1080,20.988,29.97,629,1568.011597,32.14590549,1,0.35669,0.95051,faster,12.16,127.2504883,2.660967827,41.45,0.98211086,0.785831272,1.579268293,1.790281761,1.589608878,1.016958734,1.552932523,1,1.760427146,1.56310067
71,grapes_vines_plants_vine_leaf_green_440.mp4,4.6237349,1920,1080,14.12,50,706,300.9525146,4.153494835,1,0.03582,0.98751,faster,10.58,51.2310791,0.72077179,42.69,0.980957949,0.686597986,1.474683544,1.767425631,1.51328173,1.028473954,1.433855995,1,1.718493332,1.471385566
72,Grass 3.mp4,3.5366594,1920,1080,30.564,29.97,916,1538.541992,45.93351555,1,0.0019,0.99697,veryfast,13.06,36.22131348,1.10307312,38.94,0.978701818,0.770918838,1.307142857,1.448999567,1.332772786,1.023299811,1.277380142,1.129827061,1.416006875,1.302426495
