Video.Name,Metric,Width,Height,Video.Length,Frames.per.Second,Frame.Count,Original.Bitrate,Original.Size,Scene.Count,Avg.Motion..,Average Intensity,Avg.PCC,Compression.Preset,Compression.Duration,Compressed.Bitrate,Compressed.Size,Average.PSNR,Average.SSIM,Average.VIFp,Normalized.PSNR,Normalized.SSIM,Normalized.VIFp,Normalized.Duration,Normalized.Size,PSNR.By.Duration,SSIM.By.Duration,VIFp.By.Duration
Hanna.S01E06.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,3.9463338,1920,1080,3095.648,23.976,74221,863.2237549,2847.384248,8,0.18963,0.617345286,0.92763,faster,1400.06,47.7109375,147.1625843,47.05,0.988202516,0.746555955,1.247747748,1.450501701,1.372972876,1.031646732,1,1.209471915,1.4060062,1.330855645
Hanna.S01E07.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,4.0863285,1920,1080,2999.424,23.976,71914,820.79,2404.197,14,0.14997,0.617345286,0.93259,veryfast,1306.78,45.875,134,47.16,0.98882479,0.749416573,1.378378378,1.382263847,1.454230052,1.031457023,1,1.336341067,1.340108038,1.409879442
Hanna.S01E08.1080p.AMZN.WEB-DL.DDP5.1.H.264.1-NTb.mkv,3.9961923,1920,1080,2906.976,23.976,69697,854.5456543,2648.970993,16,0.22686,0.617345286,0.91719,faster,1443.08,81.73535156,236.7427063,46.93,0.986977931,0.744365412,1.339622642,1.336331513,1.441605092,1.030370647,1,1.30013665,1.296942529,1.399113121
HS051.mov,3.6699625,1920,1080,12.44,25,310,3122.967407,38.23340607,1,0.17277,0.779498794,0.89368,faster,9.56,405.6120605,5.027602196,36.0711987,0.958480193,0.641578367,1.101770372,1.406051755,1.23405474,1.019595382,1,1.080595687,1.379029152,1.210337711
INtensity-Robin.Hood.2018.1080p.WEB-DL.DD5.1.H264-FGT.avi,5.1513781,1920,798,12.6,30,302,1374.126343,17.09268951,1,0.26722,0.592693854,0.92563,faster,4.83,90.82373047,1.131923676,20.12167437,0.699296799,0.132535607,1.696825111,2,1.56806582,1.022035438,1,1.660240974,1.956879307,1.534257777
Into the Sun 1080p60.mp4,3.7382042,1920,1080,20.634,59.94,1237,3051.875,61.90731812,1,0.40073,0.529347544,0.77629,fast,36.05,316.5980225,6.525822639,28.48,0.935262161,0.591924559,1.772727273,1.722131928,1.576643804,1.062477443,1.276891353,1.66848462,1.620864461,1.483931554
Jasmine_flower_2.mp4,4.880299,1920,1080,27.294,29.97,818,1617.957642,43.13607216,1,0.09469,0.777541549,0.99477,faster,14.64,47.3079834,1.286564827,42.51,0.984727839,0.755250865,1.510791367,1.858432826,1.665864721,1.031717306,1,1.464346248,1.801300429,1.614652299
jellyfish-03-mbps-hd-h264.mkv,2.924801,1920,1080,30.03,29.97,900,357.0549316,10.6836586,1,0.3739,0.575474082,0.95,faster,25.73,252.5529785,7.556792259,39.35181238,0.965439484,0.56351782,1.003343798,1.004627933,1.00353235,1.029644108,1,0.974456893,0.975704057,0.974640016
jellyfish-30-mbps-hd-h264.mkv,2.9433021,1920,1080,30.03,29.97,900,3574.299316,106.9487982,1,0.3787,0.638036343,0.94,faster,28.69,323.8612061,9.690447807,38.0098085,0.94673608,0.526296297,1.00566633,1.007139706,1.006037873,1.02566567,1,0.980501112,0.981937619,0.980863357
jellyfish-70-mbps-hd-h264.mkv,2.9478508,1920,1080,30.03,29.97,900,8341.550781,249.5926313,1,0.3775,0.640082623,0.94,faster,30.28,332.4677734,9.947967529,37.86782252,0.943904213,0.519260993,1.00655716,1.008329735,1.007339399,1.025230419,1,0.981786281,0.983515234,0.98254927
Kitty.mp4,3.6748198,1920,1080,25.192,29.97,755,1602.606934,39.43626595,1,0.15532,0.813212789,0.9809,veryfast,12.7,67.88110352,1.70382309,39.46,0.96304499,0.666509465,1.37254902,1.592558354,1.353220142,1.022359518,1.149412419,1.342530681,1.557728301,1.323624536
legs_up_desk_home_office_relaxed_405.mp4,3.7563754,1920,1080,13.56,25,339,330.2473145,4.375386238,1,0.10435,0.347846344,0.96953,veryfast,5.55,31.53088379,0.426016808,43.33,0.977656755,0.615219371,1.320610687,1.452228909,1.118871228,1.030954208,1.004921637,1.280959597,1.408626006,1.085277327
Love.Death.and.Robots.S01E10.Shape-Shifters.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,4.5207166,1920,1080,970.432,24,23290,654.296875,647.6422443,10,0.18503,0.350824588,0.86892,faster,471.8,66.61315918,64.40924358,45.9,0.98795,0.6933,1.548295455,1.584615385,1.536354057,1.032859448,1,1.499037897,1.534202342,1.487476403
Love.Death.and.Robots.S01E11.Helping.Hand.1080p.NF.WEB-DL.DDP5.1.x264-NTG.mkv,4.5603594,1920,1080,604.448,24,14506,424.8046875,274.2544537,6,0.13804,0.378489327,0.90292,faster,253.53,45.98059082,27.69112682,46.47,0.99015,0.704050049,1.53133515,1.636363636,1.5438505,1.033153054,1,1.482195831,1.583854037,1.494309574
